pin,bank,site,tile,pin_function
U17,0,IPAD_X0Y138,MONITOR_BOT_FUJI2_X61Y235,VP_0
V16,0,IPAD_X0Y139,MONITOR_BOT_FUJI2_X61Y235,VN_0
AG18,11,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_11
AK23,11,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_11
AL23,11,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_11
AM22,11,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_11
AN22,11,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_11
AP21,11,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_11
AP22,11,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_11
AN20,11,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_11
AP20,11,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_11
AN19,11,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_11
AP19,11,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_11
AL21,11,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_11
AM21,11,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_VREF_11
AN17,11,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_11
AN18,11,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_11
AP16,11,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_11
AP17,11,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_11
AM17,11,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_11
AM18,11,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_11
AL16,11,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_11
AM16,11,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_11
AL20,11,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_11
AM20,11,IOB_X0Y27,LIOB33_X0Y27,IO_L11N_T1_SRCC_11
AL18,11,IOB_X0Y26,LIOB33_X0Y25,IO_L12P_T1_MRCC_11
AL19,11,IOB_X0Y25,LIOB33_X0Y25,IO_L12N_T1_MRCC_11
AK18,11,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_11
AK19,11,IOB_X0Y23,LIOB33_X0Y23,IO_L13N_T2_MRCC_11
AH19,11,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_11
AJ19,11,IOB_X0Y21,LIOB33_X0Y21,IO_L14N_T2_SRCC_11
AK16,11,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_11
AK17,11,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_11
AJ16,11,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_11
AJ17,11,IOB_X0Y17,LIOB33_X0Y17,IO_L16N_T2_11
AH17,11,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_11
AH18,11,IOB_X0Y15,LIOB33_X0Y15,IO_L17N_T2_11
AG16,11,IOB_X0Y14,LIOB33_X0Y13,IO_L18P_T2_11
AG17,11,IOB_X0Y13,LIOB33_X0Y13,IO_L18N_T2_11
AJ22,11,IOB_X0Y12,LIOB33_X0Y11,IO_L19P_T3_11
AK22,11,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_VREF_11
AJ21,11,IOB_X0Y10,LIOB33_X0Y9,IO_L20P_T3_11
AK21,11,IOB_X0Y9,LIOB33_X0Y9,IO_L20N_T3_11
AH20,11,IOB_X0Y8,LIOB33_X0Y7,IO_L21P_T3_DQS_11
AJ20,11,IOB_X0Y7,LIOB33_X0Y7,IO_L21N_T3_DQS_11
AG20,11,IOB_X0Y6,LIOB33_X0Y5,IO_L22P_T3_11
AG21,11,IOB_X0Y5,LIOB33_X0Y5,IO_L22N_T3_11
AG22,11,IOB_X0Y4,LIOB33_X0Y3,IO_L23P_T3_11
AH22,11,IOB_X0Y3,LIOB33_X0Y3,IO_L23N_T3_11
AG23,11,IOB_X0Y2,LIOB33_X0Y1,IO_L24P_T3_11
AH23,11,IOB_X0Y1,LIOB33_X0Y1,IO_L24N_T3_11
AG15,11,IOB_X0Y0,LIOB33_SING_X0Y0,IO_25_11
AD25,12,IOB_X0Y99,LIOB33_SING_X0Y99,IO_0_12
AM23,12,IOB_X0Y98,LIOB33_X0Y97,IO_L1P_T0_12
AN23,12,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_12
AN24,12,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_12
AP24,12,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_12
AN25,12,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_12
AP25,12,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_12
AP26,12,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_12
AP27,12,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_12
AN27,12,IOB_X0Y90,LIOB33_X0Y89,IO_L5P_T0_12
AN28,12,IOB_X0Y89,LIOB33_X0Y89,IO_L5N_T0_12
AM27,12,IOB_X0Y88,LIOB33_X0Y87,IO_L6P_T0_12
AM28,12,IOB_X0Y87,LIOB33_X0Y87,IO_L6N_T0_VREF_12
AM25,12,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_12
AM26,12,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_12
AJ29,12,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_12
AK29,12,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_12
AK24,12,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_12
AL24,12,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_12
AK28,12,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_12
AL28,12,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_12
AL25,12,IOB_X0Y78,LIOB33_X0Y77,IO_L11P_T1_SRCC_12
AL26,12,IOB_X0Y77,LIOB33_X0Y77,IO_L11N_T1_SRCC_12
AK26,12,IOB_X0Y76,LIOB33_X0Y75,IO_L12P_T1_MRCC_12
AK27,12,IOB_X0Y75,LIOB33_X0Y75,IO_L12N_T1_MRCC_12
AJ26,12,IOB_X0Y74,LIOB33_X0Y73,IO_L13P_T2_MRCC_12
AJ27,12,IOB_X0Y73,LIOB33_X0Y73,IO_L13N_T2_MRCC_12
AH27,12,IOB_X0Y72,LIOB33_X0Y71,IO_L14P_T2_SRCC_12
AH28,12,IOB_X0Y71,LIOB33_X0Y71,IO_L14N_T2_SRCC_12
AH25,12,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_12
AJ25,12,IOB_X0Y69,LIOB33_X0Y69,IO_L15N_T2_DQS_12
AH24,12,IOB_X0Y68,LIOB33_X0Y67,IO_L16P_T2_12
AJ24,12,IOB_X0Y67,LIOB33_X0Y67,IO_L16N_T2_12
AG26,12,IOB_X0Y66,LIOB33_X0Y65,IO_L17P_T2_12
AG27,12,IOB_X0Y65,LIOB33_X0Y65,IO_L17N_T2_12
AG28,12,IOB_X0Y64,LIOB33_X0Y63,IO_L18P_T2_12
AH29,12,IOB_X0Y63,LIOB33_X0Y63,IO_L18N_T2_12
AD29,12,IOB_X0Y62,LIOB33_X0Y61,IO_L19P_T3_12
AE29,12,IOB_X0Y61,LIOB33_X0Y61,IO_L19N_T3_VREF_12
AF28,12,IOB_X0Y60,LIOB33_X0Y59,IO_L20P_T3_12
AF29,12,IOB_X0Y59,LIOB33_X0Y59,IO_L20N_T3_12
AE27,12,IOB_X0Y58,LIOB33_X0Y57,IO_L21P_T3_DQS_12
AE28,12,IOB_X0Y57,LIOB33_X0Y57,IO_L21N_T3_DQS_12
AE26,12,IOB_X0Y56,LIOB33_X0Y55,IO_L22P_T3_12
AF26,12,IOB_X0Y55,LIOB33_X0Y55,IO_L22N_T3_12
AE24,12,IOB_X0Y54,LIOB33_X0Y53,IO_L23P_T3_12
AF24,12,IOB_X0Y53,LIOB33_X0Y53,IO_L23N_T3_12
AF25,12,IOB_X0Y52,LIOB33_X0Y51,IO_L24P_T3_12
AG25,12,IOB_X0Y51,LIOB33_X0Y51,IO_L24N_T3_12
AD24,12,IOB_X0Y50,LIOB33_SING_X0Y50,IO_25_12
AC30,13,IOB_X0Y149,LIOB33_SING_X0Y149,IO_0_13
AC32,13,IOB_X0Y148,LIOB33_X0Y147,IO_L1P_T0_13
AC33,13,IOB_X0Y147,LIOB33_X0Y147,IO_L1N_T0_13
AC34,13,IOB_X0Y146,LIOB33_X0Y145,IO_L2P_T0_13
AD34,13,IOB_X0Y145,LIOB33_X0Y145,IO_L2N_T0_13
AE34,13,IOB_X0Y144,LIOB33_X0Y143,IO_L3P_T0_DQS_13
AF34,13,IOB_X0Y143,LIOB33_X0Y143,IO_L3N_T0_DQS_13
AE33,13,IOB_X0Y142,LIOB33_X0Y141,IO_L4P_T0_13
AF33,13,IOB_X0Y141,LIOB33_X0Y141,IO_L4N_T0_13
AE31,13,IOB_X0Y140,LIOB33_X0Y139,IO_L5P_T0_13
AE32,13,IOB_X0Y139,LIOB33_X0Y139,IO_L5N_T0_13
AD31,13,IOB_X0Y138,LIOB33_X0Y137,IO_L6P_T0_13
AD32,13,IOB_X0Y137,LIOB33_X0Y137,IO_L6N_T0_VREF_13
AH34,13,IOB_X0Y136,LIOB33_X0Y135,IO_L7P_T1_13
AJ34,13,IOB_X0Y135,LIOB33_X0Y135,IO_L7N_T1_13
AF30,13,IOB_X0Y134,LIOB33_X0Y133,IO_L8P_T1_13
AG30,13,IOB_X0Y133,LIOB33_X0Y133,IO_L8N_T1_13
AG33,13,IOB_X0Y132,LIOB33_X0Y131,IO_L9P_T1_DQS_13
AH33,13,IOB_X0Y131,LIOB33_X0Y131,IO_L9N_T1_DQS_13
AH30,13,IOB_X0Y130,LIOB33_X0Y129,IO_L10P_T1_13
AJ30,13,IOB_X0Y129,LIOB33_X0Y129,IO_L10N_T1_13
AG32,13,IOB_X0Y128,LIOB33_X0Y127,IO_L11P_T1_SRCC_13
AH32,13,IOB_X0Y127,LIOB33_X0Y127,IO_L11N_T1_SRCC_13
AF31,13,IOB_X0Y126,LIOB33_X0Y125,IO_L12P_T1_MRCC_13
AG31,13,IOB_X0Y125,LIOB33_X0Y125,IO_L12N_T1_MRCC_13
AJ31,13,IOB_X0Y124,LIOB33_X0Y123,IO_L13P_T2_MRCC_13
AK31,13,IOB_X0Y123,LIOB33_X0Y123,IO_L13N_T2_MRCC_13
AJ32,13,IOB_X0Y122,LIOB33_X0Y121,IO_L14P_T2_SRCC_13
AK32,13,IOB_X0Y121,LIOB33_X0Y121,IO_L14N_T2_SRCC_13
AK33,13,IOB_X0Y120,LIOB33_X0Y119,IO_L15P_T2_DQS_13
AL33,13,IOB_X0Y119,LIOB33_X0Y119,IO_L15N_T2_DQS_13
AK34,13,IOB_X0Y118,LIOB33_X0Y117,IO_L16P_T2_13
AL34,13,IOB_X0Y117,LIOB33_X0Y117,IO_L16N_T2_13
AL30,13,IOB_X0Y116,LIOB33_X0Y115,IO_L17P_T2_13
AL31,13,IOB_X0Y115,LIOB33_X0Y115,IO_L17N_T2_13
AL29,13,IOB_X0Y114,LIOB33_X0Y113,IO_L18P_T2_13
AM30,13,IOB_X0Y113,LIOB33_X0Y113,IO_L18N_T2_13
AM31,13,IOB_X0Y112,LIOB33_X0Y111,IO_L19P_T3_13
AM32,13,IOB_X0Y111,LIOB33_X0Y111,IO_L19N_T3_VREF_13
AM33,13,IOB_X0Y110,LIOB33_X0Y109,IO_L20P_T3_13
AN34,13,IOB_X0Y109,LIOB33_X0Y109,IO_L20N_T3_13
AN32,13,IOB_X0Y108,LIOB33_X0Y107,IO_L21P_T3_DQS_13
AP33,13,IOB_X0Y107,LIOB33_X0Y107,IO_L21N_T3_DQS_13
AP31,13,IOB_X0Y106,LIOB33_X0Y105,IO_L22P_T3_13
AP32,13,IOB_X0Y105,LIOB33_X0Y105,IO_L22N_T3_13
AP29,13,IOB_X0Y104,LIOB33_X0Y103,IO_L23P_T3_13
AP30,13,IOB_X0Y103,LIOB33_X0Y103,IO_L23N_T3_13
AN29,13,IOB_X0Y102,LIOB33_X0Y101,IO_L24P_T3_13
AN30,13,IOB_X0Y101,LIOB33_X0Y101,IO_L24N_T3_13
AD30,13,IOB_X0Y100,LIOB33_SING_X0Y100,IO_25_13
AA24,14,IOB_X0Y199,LIOB33_SING_X0Y199,IO_0_14
AA33,14,IOB_X0Y198,LIOB33_X0Y197,IO_L1P_T0_D00_MOSI_14
AA34,14,IOB_X0Y197,LIOB33_X0Y197,IO_L1N_T0_D01_DIN_14
Y33,14,IOB_X0Y196,LIOB33_X0Y195,IO_L2P_T0_D02_14
Y34,14,IOB_X0Y195,LIOB33_X0Y195,IO_L2N_T0_D03_14
V34,14,IOB_X0Y194,LIOB33_X0Y193,IO_L3P_T0_DQS_PUDC_B_14
W34,14,IOB_X0Y193,LIOB33_X0Y193,IO_L3N_T0_DQS_EMCCLK_14
V32,14,IOB_X0Y192,LIOB33_X0Y191,IO_L4P_T0_D04_14
V33,14,IOB_X0Y191,LIOB33_X0Y191,IO_L4N_T0_D05_14
W31,14,IOB_X0Y190,LIOB33_X0Y189,IO_L5P_T0_D06_14
W32,14,IOB_X0Y189,LIOB33_X0Y189,IO_L5N_T0_D07_14
V30,14,IOB_X0Y188,LIOB33_X0Y187,IO_L6P_T0_FCS_B_14
