pin,bank,site,tile,pin_function
A21,15,IOB_X0Y149,LIOB33_SING_X0Y149,IO_0_15
AA1,34,IOB_X1Y65,RIOB33_X53Y65,IO_L17N_T2_34
AA10,34,IOB_X1Y56,RIOB33_X53Y55,IO_L22P_T3_34
AA11,13,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_VREF_13
AA13,13,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_13
AA14,13,IOB_X0Y26,LIOB33_X0Y25,IO_L12P_T1_MRCC_13
AA15,13,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_13
AA16,13,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_13
AA17,13,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_13
AA18,13,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_13
AA2,34,IOB_X1Y66,RIOB33_X53Y65,IO_L17P_T2_34
AA20,14,IOB_X0Y61,LIOB33_X0Y61,IO_L19N_T3_D25_VREF_14
AA21,14,IOB_X0Y56,LIOB33_X0Y55,IO_L22P_T3_D21_14
AA22,14,IOB_X0Y59,LIOB33_X0Y59,IO_L20N_T3_D23_14
AA3,34,IOB_X1Y69,RIOB33_X53Y69,IO_L15N_T2_DQS_34
AA6,34,IOB_X1Y74,RIOB33_X53Y73,IO_L13P_T2_MRCC_34
AA7,34,IOB_X1Y54,RIOB33_X53Y53,IO_L23P_T3_34
AA8,34,IOB_X1Y59,RIOB33_X53Y59,IO_L20N_T3_34
AA9,34,IOB_X1Y52,RIOB33_X53Y51,IO_L24P_T3_34
AB10,34,IOB_X1Y55,RIOB33_X53Y55,IO_L22N_T3_34
AB11,13,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_13
AB12,13,IOB_X0Y15,LIOB33_X0Y15,IO_L17N_T2_13
AB13,13,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_13
AB14,13,IOB_X0Y25,LIOB33_X0Y25,IO_L12N_T1_MRCC_13
AB16,13,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_13
AB17,13,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_13
AB18,13,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_13
AB19,14,IOB_X0Y54,LIOB33_X0Y53,IO_L23P_T3_D19_14
AB2,34,IOB_X1Y67,RIOB33_X53Y67,IO_L16N_T2_34
AB20,14,IOB_X0Y53,LIOB33_X0Y53,IO_L23N_T3_D18_14
AB21,14,IOB_X0Y55,LIOB33_X0Y55,IO_L22N_T3_D20_14
AB3,34,IOB_X1Y68,RIOB33_X53Y67,IO_L16P_T2_34
AB4,34,IOB_X1Y63,RIOB33_X53Y63,IO_L18N_T2_34
AB5,34,IOB_X1Y64,RIOB33_X53Y63,IO_L18P_T2_34
AB6,34,IOB_X1Y73,RIOB33_X53Y73,IO_L13N_T2_MRCC_34
AB7,34,IOB_X1Y53,RIOB33_X53Y53,IO_L23N_T3_34
AB9,34,IOB_X1Y51,RIOB33_X53Y51,IO_L24N_T3_34
B21,15,IOB_X0Y136,LIOB33_X0Y135,IO_L7P_T1_AD2P_15
B22,15,IOB_X0Y135,LIOB33_X0Y135,IO_L7N_T1_AD2N_15
C20,15,IOB_X0Y133,LIOB33_X0Y133,IO_L8N_T1_AD10N_15
C22,15,IOB_X0Y131,LIOB33_X0Y131,IO_L9N_T1_DQS_AD3N_15
D20,15,IOB_X0Y134,LIOB33_X0Y133,IO_L8P_T1_AD10P_15
D21,15,IOB_X0Y132,LIOB33_X0Y131,IO_L9P_T1_DQS_AD3P_15
D22,15,IOB_X0Y129,LIOB33_X0Y129,IO_L10N_T1_AD11N_15
E22,15,IOB_X0Y130,LIOB33_X0Y129,IO_L10P_T1_AD11P_15
F17,15,IOB_X0Y148,LIOB33_X0Y147,IO_L1P_T0_AD0P_15
F18,15,IOB_X0Y147,LIOB33_X0Y147,IO_L1N_T0_AD0N_15
F19,15,IOB_X0Y126,LIOB33_X0Y125,IO_L12P_T1_MRCC_15
F20,15,IOB_X0Y125,LIOB33_X0Y125,IO_L12N_T1_MRCC_15
F21,15,IOB_X0Y128,LIOB33_X0Y127,IO_L11P_T1_SRCC_15
F22,15,IOB_X0Y127,LIOB33_X0Y127,IO_L11N_T1_SRCC_15
G16,15,IOB_X0Y141,LIOB33_X0Y141,IO_L4N_T0_15
G17,15,IOB_X0Y145,LIOB33_X0Y145,IO_L2N_T0_AD8N_15
G20,15,IOB_X0Y111,LIOB33_X0Y111,IO_L19N_T3_VREF_15
G21,15,IOB_X0Y110,LIOB33_X0Y109,IO_L20P_T3_15
G22,15,IOB_X0Y109,LIOB33_X0Y109,IO_L20N_T3_15
H16,15,IOB_X0Y142,LIOB33_X0Y141,IO_L4P_T0_15
H17,15,IOB_X0Y146,LIOB33_X0Y145,IO_L2P_T0_AD8P_15
H18,15,IOB_X0Y143,LIOB33_X0Y143,IO_L3N_T0_DQS_AD1N_15
H19,15,IOB_X0Y112,LIOB33_X0Y111,IO_L19P_T3_15
H20,15,IOB_X0Y108,LIOB33_X0Y107,IO_L21P_T3_DQS_15
H21,15,IOB_X0Y107,LIOB33_X0Y107,IO_L21N_T3_DQS_15
J15,15,IOB_X0Y137,LIOB33_X0Y137,IO_L6N_T0_VREF_15
J16,15,IOB_X0Y139,LIOB33_X0Y139,IO_L5N_T0_AD9N_15
J17,15,IOB_X0Y144,LIOB33_X0Y143,IO_L3P_T0_DQS_AD1P_15
J19,15,IOB_X0Y116,LIOB33_X0Y115,IO_L17P_T2_15
J20,15,IOB_X0Y115,LIOB33_X0Y115,IO_L17N_T2_15
J21,15,IOB_X0Y104,LIOB33_X0Y103,IO_L23P_T3_15
J22,15,IOB_X0Y103,LIOB33_X0Y103,IO_L23N_T3_15
K15,15,IOB_X0Y138,LIOB33_X0Y137,IO_L6P_T0_15
K16,15,IOB_X0Y140,LIOB33_X0Y139,IO_L5P_T0_AD9P_15
K17,15,IOB_X0Y119,LIOB33_X0Y119,IO_L15N_T2_DQS_15
K18,15,IOB_X0Y118,LIOB33_X0Y117,IO_L16P_T2_15
K19,15,IOB_X0Y117,LIOB33_X0Y117,IO_L16N_T2_15
K22,15,IOB_X0Y105,LIOB33_X0Y105,IO_L22N_T3_15
L12,0,IPAD_X0Y0,MONITOR_BOT_X46Y131,VP_0
L15,15,IOB_X0Y123,LIOB33_X0Y123,IO_L13N_T2_MRCC_15
L16,15,IOB_X0Y120,LIOB33_X0Y119,IO_L15P_T2_DQS_15
L18,15,IOB_X0Y114,LIOB33_X0Y113,IO_L18P_T2_15
L19,15,IOB_X0Y113,LIOB33_X0Y113,IO_L18N_T2_15
L20,15,IOB_X0Y102,LIOB33_X0Y101,IO_L24P_T3_RS1_15
L21,15,IOB_X0Y101,LIOB33_X0Y101,IO_L24N_T3_RS0_15
L22,15,IOB_X0Y106,LIOB33_X0Y105,IO_L22P_T3_15
M11,0,IPAD_X0Y1,MONITOR_BOT_X46Y131,VN_0
M15,15,IOB_X0Y124,LIOB33_X0Y123,IO_L13P_T2_MRCC_15
M16,15,IOB_X0Y100,LIOB33_SING_X0Y100,IO_25_15
M17,15,IOB_X0Y122,LIOB33_X0Y121,IO_L14P_T2_SRCC_15
M18,15,IOB_X0Y121,LIOB33_X0Y121,IO_L14N_T2_SRCC_15
M19,14,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_PUDC_B_14
M21,14,IOB_X0Y98,LIOB33_X0Y97,IO_L1P_T0_D00_MOSI_14
M22,14,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_D01_DIN_14
N15,14,IOB_X0Y99,LIOB33_SING_X0Y99,IO_0_14
N17,14,IOB_X0Y88,LIOB33_X0Y87,IO_L6P_T0_FCS_B_14
N18,14,IOB_X0Y87,LIOB33_X0Y87,IO_L6N_T0_D08_VREF_14
N19,14,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_EMCCLK_14
N20,14,IOB_X0Y90,LIOB33_X0Y89,IO_L5P_T0_D06_14
N21,14,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_D02_14
N22,14,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_D03_14
P15,14,IOB_X0Y74,LIOB33_X0Y73,IO_L13P_T2_MRCC_14
P16,14,IOB_X0Y73,LIOB33_X0Y73,IO_L13N_T2_MRCC_14
P17,14,IOB_X0Y72,LIOB33_X0Y71,IO_L14P_T2_SRCC_14
P20,14,IOB_X0Y89,LIOB33_X0Y89,IO_L5N_T0_D07_14
P21,14,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_D04_14
P22,14,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_D05_14
R16,14,IOB_X0Y68,LIOB33_X0Y67,IO_L16P_T2_CSI_B_14
R17,14,IOB_X0Y67,LIOB33_X0Y67,IO_L16N_T2_D31_14
R18,14,IOB_X0Y71,LIOB33_X0Y71,IO_L14N_T2_SRCC_14
R19,14,IOB_X0Y66,LIOB33_X0Y65,IO_L17P_T2_D30_14
R2,34,IOB_X1Y99,RIOB33_SING_X53Y99,IO_0_34
R20,14,IOB_X0Y65,LIOB33_X0Y65,IO_L17N_T2_D29_14
T1,34,IOB_X1Y50,RIOB33_SING_X53Y50,IO_25_34
T12,13,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_13
T13,13,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_13
T14,13,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_13
T15,13,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_13
T16,14,IOB_X0Y50,LIOB33_SING_X0Y50,IO_25_14
T17,14,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_RDWR_B_14
T19,14,IOB_X0Y64,LIOB33_X0Y63,IO_L18P_T2_D28_14
T2,34,IOB_X1Y75,RIOB33_X53Y75,IO_L12N_T1_MRCC_34
T20,14,IOB_X0Y63,LIOB33_X0Y63,IO_L18N_T2_D27_14
T21,14,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_D09_14
T22,14,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_D10_14
T3,34,IOB_X1Y76,RIOB33_X53Y75,IO_L12P_T1_MRCC_34
T5,34,IOB_X1Y92,RIOB33_X53Y91,IO_L4P_T0_34
T6,34,IOB_X1Y95,RIOB33_X53Y95,IO_L2N_T0_34
T7,34,IOB_X1Y96,RIOB33_X53Y95,IO_L2P_T0_34
T8,34,IOB_X1Y88,RIOB33_X53Y87,IO_L6P_T0_34
U1,34,IOB_X1Y81,RIOB33_X53Y81,IO_L9N_T1_DQS_34
U12,13,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_13
U15,13,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_13
U16,13,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_13
U17,14,IOB_X0Y69,LIOB33_X0Y69,IO_L15N_T2_DQS_DOUT_CSO_B_14
U18,14,IOB_X0Y76,LIOB33_X0Y75,IO_L12P_T1_MRCC_14
U19,14,IOB_X0Y75,LIOB33_X0Y75,IO_L12N_T1_MRCC_14
U2,34,IOB_X1Y82,RIOB33_X53Y81,IO_L9P_T1_DQS_34
U20,14,IOB_X0Y78,LIOB33_X0Y77,IO_L11P_T1_SRCC_14
U22,14,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_14
U3,34,IOB_X1Y77,RIOB33_X53Y77,IO_L11N_T1_SRCC_34
U4,34,IOB_X1Y78,RIOB33_X53Y77,IO_L11P_T1_SRCC_34
U5,34,IOB_X1Y91,RIOB33_X53Y91,IO_L4N_T0_34
U8,34,IOB_X1Y87,RIOB33_X53Y87,IO_L6N_T0_VREF_34
V1,34,IOB_X1Y86,RIOB33_X53Y85,IO_L7P_T1_34
V12,13,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_13
V13,13,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_13
V14,13,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_13
V15,13,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_13
V16,13,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_VREF_13
V18,14,IOB_X0Y52,LIOB33_X0Y51,IO_L24P_T3_D17_14
V19,14,IOB_X0Y51,LIOB33_X0Y51,IO_L24N_T3_D16_14
V20,14,IOB_X0Y77,LIOB33_X0Y77,IO_L11N_T1_SRCC_14
V21,14,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_D11_14
V22,14,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_D13_14
V4,34,IOB_X1Y93,RIOB33_X53Y93,IO_L3N_T0_DQS_34
V5,34,IOB_X1Y94,RIOB33_X53Y93,IO_L3P_T0_DQS_34
V6,34,IOB_X1Y89,RIOB33_X53Y89,IO_L5N_T0_34
V7,34,IOB_X1Y90,RIOB33_X53Y89,IO_L5P_T0_34
V8,34,IOB_X1Y62,RIOB33_X53Y61,IO_L19P_T3_34
W1,34,IOB_X1Y85,RIOB33_X53Y85,IO_L7N_T1_34
W11,13,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_13
W12,13,IOB_X0Y23,LIOB33_X0Y23,IO_L13N_T2_MRCC_13
W14,13,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_13
W15,13,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_13
W16,13,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_13
W17,13,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_13
W18,14,IOB_X0Y58,LIOB33_X0Y57,IO_L21P_T3_DQS_14
W2,34,IOB_X1Y84,RIOB33_X53Y83,IO_L8P_T1_34
W21,14,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_D14_14
W22,14,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_D12_14
W3,34,IOB_X1Y80,RIOB33_X53Y79,IO_L10P_T1_34
W4,34,IOB_X1Y97,RIOB33_X53Y97,IO_L1N_T0_34
W5,34,IOB_X1Y98,RIOB33_X53Y97,IO_L1P_T0_34
W7,34,IOB_X1Y58,RIOB33_X53Y57,IO_L21P_T3_DQS_34
W8,34,IOB_X1Y61,RIOB33_X53Y61,IO_L19N_T3_VREF_34
Y1,34,IOB_X1Y83,RIOB33_X53Y83,IO_L8N_T1_34
Y11,13,IOB_X0Y17,LIOB33_X0Y17,IO_L16N_T2_13
Y12,13,IOB_X0Y14,LIOB33_X0Y13,IO_L18P_T2_13
Y13,13,IOB_X0Y13,LIOB33_X0Y13,IO_L18N_T2_13
Y14,13,IOB_X0Y21,LIOB33_X0Y21,IO_L14N_T2_SRCC_13
Y17,13,IOB_X0Y27,LIOB33_X0Y27,IO_L11N_T1_SRCC_13
