pin,bank,site,tile,pin_function
AJ22,12,IOB_X0Y58,LIOB33_X0Y57,IO_L21P_T3_DQS_12
AK23,12,IOB_X0Y57,LIOB33_X0Y57,IO_L21N_T3_DQS_12
AJ23,12,IOB_X0Y56,LIOB33_X0Y55,IO_L22P_T3_12
AJ24,12,IOB_X0Y55,LIOB33_X0Y55,IO_L22N_T3_12
AK24,12,IOB_X0Y54,LIOB33_X0Y53,IO_L23P_T3_12
AK25,12,IOB_X0Y53,LIOB33_X0Y53,IO_L23N_T3_12
AJ26,12,IOB_X0Y52,LIOB33_X0Y51,IO_L24P_T3_12
AK26,12,IOB_X0Y51,LIOB33_X0Y51,IO_L24N_T3_12
AE20,12,IOB_X0Y50,LIOB33_SING_X0Y50,IO_25_12
W24,13,IOB_X0Y149,LIOB33_SING_X0Y149,IO_0_13
AA28,13,IOB_X0Y148,LIOB33_X0Y147,IO_L1P_T0_13
AB28,13,IOB_X0Y147,LIOB33_X0Y147,IO_L1N_T0_13
AB29,13,IOB_X0Y146,LIOB33_X0Y145,IO_L2P_T0_13
AB30,13,IOB_X0Y145,LIOB33_X0Y145,IO_L2N_T0_13
Y30,13,IOB_X0Y144,LIOB33_X0Y143,IO_L3P_T0_DQS_13
AA30,13,IOB_X0Y143,LIOB33_X0Y143,IO_L3N_T0_DQS_13
Y28,13,IOB_X0Y142,LIOB33_X0Y141,IO_L4P_T0_13
Y29,13,IOB_X0Y141,LIOB33_X0Y141,IO_L4N_T0_13
W28,13,IOB_X0Y140,LIOB33_X0Y139,IO_L5P_T0_13
W29,13,IOB_X0Y139,LIOB33_X0Y139,IO_L5N_T0_13
W26,13,IOB_X0Y138,LIOB33_X0Y137,IO_L6P_T0_13
W27,13,IOB_X0Y137,LIOB33_X0Y137,IO_L6N_T0_VREF_13
AC26,13,IOB_X0Y136,LIOB33_X0Y135,IO_L7P_T1_13
AD27,13,IOB_X0Y135,LIOB33_X0Y135,IO_L7N_T1_13
Y25,13,IOB_X0Y134,LIOB33_X0Y133,IO_L8P_T1_13
AA25,13,IOB_X0Y133,LIOB33_X0Y133,IO_L8N_T1_13
AB25,13,IOB_X0Y132,LIOB33_X0Y131,IO_L9P_T1_DQS_13
AC25,13,IOB_X0Y131,LIOB33_X0Y131,IO_L9N_T1_DQS_13
AB24,13,IOB_X0Y130,LIOB33_X0Y129,IO_L10P_T1_13
AC24,13,IOB_X0Y129,LIOB33_X0Y129,IO_L10N_T1_13
Y26,13,IOB_X0Y128,LIOB33_X0Y127,IO_L11P_T1_SRCC_13
AA26,13,IOB_X0Y127,LIOB33_X0Y127,IO_L11N_T1_SRCC_13
AA27,13,IOB_X0Y126,LIOB33_X0Y125,IO_L12P_T1_MRCC_13
AB27,13,IOB_X0Y125,LIOB33_X0Y125,IO_L12N_T1_MRCC_13
AC27,13,IOB_X0Y124,LIOB33_X0Y123,IO_L13P_T2_MRCC_13
AD28,13,IOB_X0Y123,LIOB33_X0Y123,IO_L13N_T2_MRCC_13
AE28,13,IOB_X0Y122,LIOB33_X0Y121,IO_L14P_T2_SRCC_13
AF28,13,IOB_X0Y121,LIOB33_X0Y121,IO_L14N_T2_SRCC_13
AC29,13,IOB_X0Y120,LIOB33_X0Y119,IO_L15P_T2_DQS_13
AC30,13,IOB_X0Y119,LIOB33_X0Y119,IO_L15N_T2_DQS_13
AD29,13,IOB_X0Y118,LIOB33_X0Y117,IO_L16P_T2_13
AE29,13,IOB_X0Y117,LIOB33_X0Y117,IO_L16N_T2_13
AE30,13,IOB_X0Y116,LIOB33_X0Y115,IO_L17P_T2_13
AF30,13,IOB_X0Y115,LIOB33_X0Y115,IO_L17N_T2_13
AF27,13,IOB_X0Y114,LIOB33_X0Y113,IO_L18P_T2_13
AG28,13,IOB_X0Y113,LIOB33_X0Y113,IO_L18N_T2_13
AG27,13,IOB_X0Y112,LIOB33_X0Y111,IO_L19P_T3_13
AH27,13,IOB_X0Y111,LIOB33_X0Y111,IO_L19N_T3_VREF_13
AG29,13,IOB_X0Y110,LIOB33_X0Y109,IO_L20P_T3_13
AH29,13,IOB_X0Y109,LIOB33_X0Y109,IO_L20N_T3_13
AJ27,13,IOB_X0Y108,LIOB33_X0Y107,IO_L21P_T3_DQS_13
AJ28,13,IOB_X0Y107,LIOB33_X0Y107,IO_L21N_T3_DQS_13
AG30,13,IOB_X0Y106,LIOB33_X0Y105,IO_L22P_T3_13
AH30,13,IOB_X0Y105,LIOB33_X0Y105,IO_L22N_T3_13
AJ29,13,IOB_X0Y104,LIOB33_X0Y103,IO_L23P_T3_13
AK30,13,IOB_X0Y103,LIOB33_X0Y103,IO_L23N_T3_13
AK28,13,IOB_X0Y102,LIOB33_X0Y101,IO_L24P_T3_13
AK29,13,IOB_X0Y101,LIOB33_X0Y101,IO_L24N_T3_13
Y24,13,IOB_X0Y100,LIOB33_SING_X0Y100,IO_25_13
T22,14,IOB_X0Y199,LIOB33_SING_X0Y199,IO_0_14
R30,14,IOB_X0Y198,LIOB33_X0Y197,IO_L1P_T0_D00_MOSI_14
T30,14,IOB_X0Y197,LIOB33_X0Y197,IO_L1N_T0_D01_DIN_14
R28,14,IOB_X0Y196,LIOB33_X0Y195,IO_L2P_T0_D02_14
T28,14,IOB_X0Y195,LIOB33_X0Y195,IO_L2N_T0_D03_14
V29,14,IOB_X0Y194,LIOB33_X0Y193,IO_L3P_T0_DQS_PUDC_B_14
V30,14,IOB_X0Y193,LIOB33_X0Y193,IO_L3N_T0_DQS_EMCCLK_14
U29,14,IOB_X0Y192,LIOB33_X0Y191,IO_L4P_T0_D04_14
U30,14,IOB_X0Y191,LIOB33_X0Y191,IO_L4N_T0_D05_14
U27,14,IOB_X0Y190,LIOB33_X0Y189,IO_L5P_T0_D06_14
U28,14,IOB_X0Y189,LIOB33_X0Y189,IO_L5N_T0_D07_14
