pin,bank,site,tile,pin_function
R15,0,IPAD_X0Y18,MONITOR_BOT_FUJI2_X61Y183,VP_0
T14,0,IPAD_X0Y19,MONITOR_BOT_FUJI2_X61Y183,VN_0
Y20,12,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_12
Y23,12,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_12
Y24,12,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_12
Y21,12,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_12
AA21,12,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_12
AB22,12,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_12
AB23,12,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_12
AA22,12,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_12
AA23,12,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_12
AC20,12,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_12
AC21,12,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_12
AA20,12,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_12
AB20,12,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_VREF_12
AB24,12,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_12
AC25,12,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_12
AC22,12,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_12
AD22,12,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_12
AC24,12,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_12
AD24,12,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_12
AD21,12,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_12
AE21,12,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_12
AE23,12,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_12
AF23,12,IOB_X0Y27,LIOB33_X0Y27,IO_L11N_T1_SRCC_12
AD23,12,IOB_X0Y26,LIOB33_X0Y25,IO_L12P_T1_MRCC_12
AE24,12,IOB_X0Y25,LIOB33_X0Y25,IO_L12N_T1_MRCC_12
AF22,12,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_12
AG23,12,IOB_X0Y23,LIOB33_X0Y23,IO_L13N_T2_MRCC_12
AG24,12,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_12
AH24,12,IOB_X0Y21,LIOB33_X0Y21,IO_L14N_T2_SRCC_12
AJ24,12,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_12
AK25,12,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_12
AE25,12,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_12
AF25,12,IOB_X0Y17,LIOB33_X0Y17,IO_L16N_T2_12
AK23,12,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_12
AK24,12,IOB_X0Y15,LIOB33_X0Y15,IO_L17N_T2_12
AG25,12,IOB_X0Y14,LIOB33_X0Y13,IO_L18P_T2_12
AH25,12,IOB_X0Y13,LIOB33_X0Y13,IO_L18N_T2_12
AF20,12,IOB_X0Y12,LIOB33_X0Y11,IO_L19P_T3_12
AF21,12,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_VREF_12
AG22,12,IOB_X0Y10,LIOB33_X0Y9,IO_L20P_T3_12
AH22,12,IOB_X0Y9,LIOB33_X0Y9,IO_L20N_T3_12
AJ22,12,IOB_X0Y8,LIOB33_X0Y7,IO_L21P_T3_DQS_12
AJ23,12,IOB_X0Y7,LIOB33_X0Y7,IO_L21N_T3_DQS_12
